,disparities_FIPS,disparities_County,disparities_State,disparities_Condition,disparities_Urban/Rural,disparities_Total,disparities_Total No. of Beneficiaries,disparities_White,disparities_No. of Beneficiaries Who are White,disparities_Black,disparities_No. of Beneficiaries Who are Black,disparities_Asian/Pacific Islander,disparities_No. of Beneficiaries Who are Asian/Pacific Islander,disparities_Hispanic,disparities_No. of Beneficiaries Who are Hispanic,disparities_American Indian/Alaska Native,disparities_No. of Beneficiaries Who are American Indian/Alaska Native,disparities_Other,disparities_No. of Beneficiaries Who are in Other Ethic Groups,covid_date_as_of,covid_last_week,covid_state,covid_county_name,covid_fips_county_code,covid_deaths_involving_covid_19,covid_deaths_from_all_causes,covid_Longitude,covid_Latitude
8796,45067,MARION,SC,Congestive Heart Failure,Rural,17,"[5,000-9,999]",17.0,"[1,000-4,999]",17.0,"[1,000-4,999]",,[11-499],16.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Marion County,45067.0,17.0,240.0,-80.864614,33.878572
8798,45071,NEWBERRY,SC,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14.0,"[1,000-4,999]",16.0,"[1,000-4,999]",,[11-499],19.0,[11-499],,*,17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Newberry County,45071.0,28.0,341.0,-80.864614,33.878572
8799,45073,OCONEE,SC,Congestive Heart Failure,Rural,12,"[10,000+]",11.0,"[10,000+]",17.0,[500-999],,[11-499],11.0,[11-499],,*,7.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Oconee County,45073.0,26.0,715.0,-80.864614,33.878572
8800,45075,ORANGEBURG,SC,Congestive Heart Failure,Rural,12,"[10,000+]",12.0,"[5,000-9,999]",13.0,"[5,000-9,999]",,[11-499],13.0,[11-499],,*,21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Orangeburg County,45075.0,124.0,910.0,-80.864614,33.878572
8801,45077,PICKENS,SC,Congestive Heart Failure,Urban,14,"[10,000+]",14.0,"[10,000+]",17.0,[500-999],10.0,[11-499],10.0,[11-499],,*,11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Pickens County,45077.0,35.0,759.0,-80.864614,33.878572
8802,45079,RICHLAND,SC,Congestive Heart Failure,Urban,13,"[10,000+]",12.0,"[10,000+]",17.0,"[10,000+]",7.0,[11-499],10.0,[500-999],25.0,[11-499],9.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Richland County,45079.0,344.0,3440.0,-80.864614,33.878572
8803,45081,SALUDA,SC,Congestive Heart Failure,Urban,15,"[1,000-4,999]",15.0,"[1,000-4,999]",16.0,[11-499],,*,,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Saluda County,45081.0,10.0,121.0,-80.864614,33.878572
8804,45083,SPARTANBURG,SC,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",15.0,"[1,000-4,999]",8.0,[11-499],6.0,[11-499],18.0,[11-499],11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Spartanburg County,45083.0,277.0,3075.0,-80.864614,33.878572
8805,45085,SUMTER,SC,Congestive Heart Failure,Urban,17,"[10,000+]",16.0,"[5,000-9,999]",19.0,"[5,000-9,999]",7.0,[11-499],12.0,[11-499],,*,11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Sumter County,45085.0,79.0,952.0,-80.864614,33.878572
8807,45089,WILLIAMSBURG,SC,Congestive Heart Failure,Rural,15,"[1,000-4,999]",16.0,"[1,000-4,999]",15.0,"[1,000-4,999]",,*,36.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Williamsburg County,45089.0,18.0,223.0,-80.864614,33.878572
8808,45091,YORK,SC,Congestive Heart Failure,Urban,10,"[10,000+]",10.0,"[10,000+]",12.0,"[1,000-4,999]",7.0,[11-499],7.0,[500-999],13.0,[11-499],7.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,York County,45091.0,97.0,1725.0,-80.864614,33.878572
8823,46029,CODINGTON,SD,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14.0,"[1,000-4,999]",,*,,[11-499],,*,8.0,[11-499],,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SD,Codington County,46029.0,12.0,225.0,-100.230491,44.43614
8845,46073,JERAULD,SD,Congestive Heart Failure,Rural,11,[11-499],11.0,[11-499],,*,,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SD,Jerauld County,46073.0,12.0,27.0,-100.230491,44.43614
8850,46083,LINCOLN,SD,Congestive Heart Failure,Urban,11,"[1,000-4,999]",11.0,"[1,000-4,999]",,*,,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SD,Lincoln County,46083.0,13.0,209.0,-100.230491,44.43614
8858,46099,MINNEHAHA,SD,Congestive Heart Failure,Urban,11,"[10,000+]",11.0,"[10,000+]",10.0,[11-499],7.0,[11-499],8.0,[11-499],11.0,[11-499],10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SD,Minnehaha County,46099.0,217.0,1976.0,-100.230491,44.43614
8860,46103,PENNINGTON,SD,Congestive Heart Failure,Urban,11,"[10,000+]",10.0,"[10,000+]",12.0,[11-499],3.0,[11-499],8.0,[11-499],16.0,"[1,000-4,999]",15.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SD,Pennington County,46103.0,66.0,967.0,-100.230491,44.43614
8874,46135,YANKTON,SD,Congestive Heart Failure,Rural,12,"[1,000-4,999]",12.0,"[1,000-4,999]",,[11-499],25.0,[11-499],15.0,[11-499],11.0,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SD,Yankton County,46135.0,13.0,215.0,-100.230491,44.43614
8876,47001,ANDERSON,TN,Congestive Heart Failure,Urban,14,"[5,000-9,999]",15.0,"[5,000-9,999]",16.0,[11-499],9.0,[11-499],,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Anderson County,47001.0,18.0,869.0,-86.343226,35.842998
8880,47009,BLOUNT,TN,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",19.0,[11-499],,[11-499],8.0,[11-499],27.0,[11-499],8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Blount County,47009.0,32.0,1064.0,-86.343226,35.842998
8881,47011,BRADLEY,TN,Congestive Heart Failure,Urban,15,"[10,000+]",15.0,"[10,000+]",13.0,[11-499],11.0,[11-499],10.0,[11-499],17.0,[11-499],23.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Bradley County,47011.0,26.0,856.0,-86.343226,35.842998
8884,47017,CARROLL,TN,Congestive Heart Failure,Rural,20,"[5,000-9,999]",20.0,"[5,000-9,999]",20.0,[11-499],,*,13.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Carroll County,47017.0,19.0,287.0,-86.343226,35.842998
8885,47019,CARTER,TN,Congestive Heart Failure,Urban,17,"[1,000-4,999]",17.0,"[1,000-4,999]",,[11-499],,[11-499],,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Carter County,47019.0,18.0,521.0,-86.343226,35.842998
8890,47029,COCKE,TN,Congestive Heart Failure,Rural,13,"[1,000-4,999]",14.0,"[1,000-4,999]",7.0,[11-499],,*,12.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Cocke County,47029.0,10.0,361.0,-86.343226,35.842998
8891,47031,COFFEE,TN,Congestive Heart Failure,Rural,15,"[5,000-9,999]",15.0,"[5,000-9,999]",19.0,[11-499],9.0,[11-499],10.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Coffee County,47031.0,24.0,489.0,-86.343226,35.842998
8893,47035,CUMBERLAND,TN,Congestive Heart Failure,Rural,19,"[10,000+]",19.0,"[10,000+]",15.0,[11-499],18.0,[11-499],15.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Cumberland County,47035.0,20.0,640.0,-86.343226,35.842998
8894,47037,DAVIDSON,TN,Congestive Heart Failure,Urban,15,"[10,000+]",14.0,"[10,000+]",18.0,"[5,000-9,999]",10.0,[500-999],9.0,[500-999],18.0,[11-499],11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Davidson County,47037.0,565.0,7481.0,-86.343226,35.842998
8896,47041,DE KALB,TN,Congestive Heart Failure,Rural,17,"[1,000-4,999]",17.0,"[1,000-4,999]",18.0,[11-499],,*,,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,DeKalb County,47041.0,10.0,188.0,-86.343226,35.842998
8897,47043,DICKSON,TN,Congestive Heart Failure,Urban,18,"[5,000-9,999]",18.0,"[5,000-9,999]",24.0,[11-499],,[11-499],8.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Dickson County,47043.0,25.0,432.0,-86.343226,35.842998
8898,47045,DYER,TN,Congestive Heart Failure,Rural,18,"[5,000-9,999]",18.0,"[5,000-9,999]",19.0,[500-999],,[11-499],,[11-499],,*,31.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Dyer County,47045.0,27.0,402.0,-86.343226,35.842998
8901,47051,FRANKLIN,TN,Congestive Heart Failure,Rural,18,"[5,000-9,999]",17.0,"[5,000-9,999]",21.0,[11-499],18.0,[11-499],11.0,[11-499],,*,26.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Franklin County,47051.0,12.0,368.0,-86.343226,35.842998
8902,47053,GIBSON,TN,Congestive Heart Failure,Rural,17,"[5,000-9,999]",17.0,"[5,000-9,999]",19.0,"[1,000-4,999]",,*,21.0,[11-499],,*,22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Gibson County,47053.0,19.0,466.0,-86.343226,35.842998
8903,47055,GILES,TN,Congestive Heart Failure,Rural,16,"[1,000-4,999]",16.0,"[1,000-4,999]",17.0,[11-499],,[11-499],,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Giles County,47055.0,19.0,294.0,-86.343226,35.842998
8905,47059,GREENE,TN,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14.0,"[5,000-9,999]",19.0,[11-499],,[11-499],7.0,[11-499],,*,14.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Greene County,47059.0,22.0,613.0,-86.343226,35.842998
8907,47063,HAMBLEN,TN,Congestive Heart Failure,Urban,13,"[5,000-9,999]",13.0,"[5,000-9,999]",17.0,[11-499],23.0,[11-499],4.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Hamblen County,47063.0,48.0,680.0,-86.343226,35.842998
8908,47065,HAMILTON,TN,Congestive Heart Failure,Urban,14,"[10,000+]",14.0,"[10,000+]",17.0,"[1,000-4,999]",7.0,[11-499],10.0,[11-499],,[11-499],10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Hamilton County,47065.0,201.0,4308.0,-86.343226,35.842998
8911,47071,HARDIN,TN,Congestive Heart Failure,Rural,17,"[1,000-4,999]",17.0,"[1,000-4,999]",17.0,[11-499],,[11-499],44.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Hardin County,47071.0,10.0,273.0,-86.343226,35.842998
8912,47073,HAWKINS,TN,Congestive Heart Failure,Urban,13,"[5,000-9,999]",13.0,"[5,000-9,999]",19.0,[11-499],,*,,[11-499],,*,14.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Hawkins County,47073.0,10.0,395.0,-86.343226,35.842998
8914,47077,HENDERSON,TN,Congestive Heart Failure,Rural,18,"[1,000-4,999]",18.0,"[1,000-4,999]",19.0,[11-499],,*,35.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Henderson County,47077.0,12.0,233.0,-86.343226,35.842998
8920,47089,JEFFERSON,TN,Congestive Heart Failure,Urban,13,"[5,000-9,999]",13.0,"[5,000-9,999]",22.0,[11-499],17.0,[11-499],9.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Jefferson County,47089.0,11.0,472.0,-86.343226,35.842998
8922,47093,KNOX,TN,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",15.0,"[1,000-4,999]",7.0,[11-499],10.0,[11-499],19.0,[11-499],7.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Knox County,47093.0,189.0,5291.0,-86.343226,35.842998
8929,47107,MC MINN,TN,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14.0,"[5,000-9,999]",10.0,[11-499],,[11-499],10.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,McMinn County,47107.0,24.0,503.0,-86.343226,35.842998
8932,47113,MADISON,TN,Congestive Heart Failure,Urban,16,"[10,000+]",16.0,"[10,000+]",18.0,"[1,000-4,999]",8.0,[11-499],10.0,[11-499],,*,11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Madison County,47113.0,234.0,1681.0,-86.343226,35.842998
8935,47119,MAURY,TN,Congestive Heart Failure,Rural,12,"[10,000+]",12.0,"[10,000+]",15.0,[500-999],14.0,[11-499],10.0,[11-499],,*,10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Maury County,47119.0,54.0,942.0,-86.343226,35.842998
8937,47123,MONROE,TN,Congestive Heart Failure,Rural,12,"[5,000-9,999]",12.0,"[5,000-9,999]",17.0,[11-499],,[11-499],6.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Monroe County,47123.0,15.0,385.0,-86.343226,35.842998
8938,47125,MONTGOMERY,TN,Congestive Heart Failure,Urban,14,"[10,000+]",15.0,"[10,000+]",14.0,"[1,000-4,999]",8.0,[11-499],8.0,[500-999],,[11-499],10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Montgomery County,47125.0,41.0,1067.0,-86.343226,35.842998
8941,47131,OBION,TN,Congestive Heart Failure,Rural,17,"[5,000-9,999]",16.0,"[5,000-9,999]",24.0,[11-499],,*,,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Obion County,47131.0,18.0,279.0,-86.343226,35.842998
8942,47133,OVERTON,TN,Congestive Heart Failure,Rural,19,"[1,000-4,999]",20.0,"[1,000-4,999]",,*,,*,,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Overton County,47133.0,17.0,234.0,-86.343226,35.842998
8946,47141,PUTNAM,TN,Congestive Heart Failure,Rural,19,"[10,000+]",19.0,"[10,000+]",16.0,[11-499],7.0,[11-499],13.0,[11-499],,*,22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Putnam County,47141.0,68.0,979.0,-86.343226,35.842998
8949,47147,ROBERTSON,TN,Congestive Heart Failure,Urban,15,"[5,000-9,999]",15.0,"[5,000-9,999]",17.0,[11-499],,[11-499],8.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Robertson County,47147.0,18.0,501.0,-86.343226,35.842998
8950,47149,RUTHERFORD,TN,Congestive Heart Failure,Urban,14,"[10,000+]",14.0,"[10,000+]",19.0,"[1,000-4,999]",11.0,[11-499],12.0,[11-499],24.0,[11-499],12.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Rutherford County,47149.0,171.0,2213.0,-86.343226,35.842998
8953,47155,SEVIER,TN,Congestive Heart Failure,Rural,11,"[10,000+]",11.0,"[10,000+]",,[11-499],11.0,[11-499],4.0,[11-499],29.0,[11-499],10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Sevier County,47155.0,14.0,732.0,-86.343226,35.842998
8954,47157,SHELBY,TN,Congestive Heart Failure,Urban,16,"[10,000+]",14.0,"[10,000+]",19.0,"[10,000+]",8.0,"[1,000-4,999]",10.0,[500-999],23.0,[11-499],12.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Shelby County,47157.0,598.0,8682.0,-86.343226,35.842998
8957,47163,SULLIVAN,TN,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",17.0,[11-499],12.0,[11-499],6.0,[11-499],,*,8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Sullivan County,47163.0,104.0,2528.0,-86.343226,35.842998
8958,47165,SUMNER,TN,Congestive Heart Failure,Urban,15,"[10,000+]",15.0,"[10,000+]",16.0,[500-999],16.0,[11-499],10.0,[11-499],33.0,[11-499],15.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Sumner County,47165.0,110.0,1278.0,-86.343226,35.842998
8965,47179,WASHINGTON,TN,Congestive Heart Failure,Urban,15,"[10,000+]",15.0,"[10,000+]",11.0,[11-499],6.0,[11-499],16.0,[11-499],,*,9.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Washington County,47179.0,88.0,1842.0,-86.343226,35.842998
8969,47187,WILLIAMSON,TN,Congestive Heart Failure,Urban,11,"[10,000+]",11.0,"[10,000+]",13.0,[500-999],11.0,[11-499],7.0,[11-499],,*,5.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Williamson County,47187.0,58.0,978.0,-86.343226,35.842998
8970,47189,WILSON,TN,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",18.0,[500-999],7.0,[11-499],7.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TN,Wilson County,47189.0,27.0,800.0,-86.343226,35.842998
8971,48001,ANDERSON,TX,Congestive Heart Failure,Rural,20,"[5,000-9,999]",20.0,"[5,000-9,999]",21.0,[500-999],24.0,[11-499],13.0,[11-499],20.0,[11-499],16.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Anderson County,48001.0,32.0,429.0,-99.317341,31.447238
8973,48005,ANGELINA,TX,Congestive Heart Failure,Rural,20,"[10,000+]",20.0,"[5,000-9,999]",23.0,"[1,000-4,999]",14.0,[11-499],16.0,[500-999],25.0,[11-499],,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Angelina County,48005.0,75.0,873.0,-99.317341,31.447238
8977,48013,ATASCOSA,TX,Congestive Heart Failure,Urban,16,"[1,000-4,999]",16.0,"[1,000-4,999]",27.0,[11-499],19.0,[11-499],15.0,"[1,000-4,999]",,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Atascosa County,48013.0,17.0,280.0,-99.317341,31.447238
8983,48025,BEE,TX,Congestive Heart Failure,Rural,17,"[1,000-4,999]",16.0,"[1,000-4,999]",23.0,[11-499],15.0,[11-499],19.0,"[1,000-4,999]",,*,36.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Bee County,48025.0,13.0,179.0,-99.317341,31.447238
8984,48027,BELL,TX,Congestive Heart Failure,Urban,15,"[10,000+]",15.0,"[10,000+]",15.0,"[5,000-9,999]",10.0,[500-999],13.0,"[1,000-4,999]",13.0,[11-499],10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Bell County,48027.0,138.0,2418.0,-99.317341,31.447238
8985,48029,BEXAR,TX,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",13.0,"[10,000+]",9.0,"[1,000-4,999]",13.0,"[10,000+]",22.0,[11-499],6.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Bexar County,48029.0,1856.0,13440.0,-99.317341,31.447238
8989,48037,BOWIE,TX,Congestive Heart Failure,Urban,18,"[10,000+]",17.0,"[10,000+]",21.0,"[1,000-4,999]",7.0,[11-499],15.0,[11-499],26.0,[11-499],19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Bowie County,48037.0,119.0,1226.0,-99.317341,31.447238
8990,48039,BRAZORIA,TX,Congestive Heart Failure,Urban,18,"[10,000+]",17.0,"[10,000+]",21.0,"[1,000-4,999]",14.0,[500-999],17.0,"[1,000-4,999]",16.0,[11-499],10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Brazoria County,48039.0,150.0,1776.0,-99.317341,31.447238
8991,48041,BRAZOS,TX,Congestive Heart Failure,Urban,16,"[10,000+]",16.0,"[10,000+]",23.0,"[1,000-4,999]",8.0,[11-499],15.0,"[1,000-4,999]",,[11-499],12.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Brazos County,48041.0,118.0,1230.0,-99.317341,31.447238
8995,48049,BROWN,TX,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14.0,"[5,000-9,999]",19.0,[11-499],22.0,[11-499],13.0,[500-999],36.0,[11-499],,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Brown County,48049.0,30.0,399.0,-99.317341,31.447238
8997,48053,BURNET,TX,Congestive Heart Failure,Rural,11,"[5,000-9,999]",11.0,"[5,000-9,999]",21.0,[11-499],12.0,[11-499],15.0,[11-499],36.0,[11-499],26.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Burnet County,48053.0,18.0,352.0,-99.317341,31.447238
8998,48055,CALDWELL,TX,Congestive Heart Failure,Urban,15,"[1,000-4,999]",14.0,"[1,000-4,999]",20.0,[11-499],,[11-499],15.0,"[1,000-4,999]",,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Caldwell County,48055.0,15.0,236.0,-99.317341,31.447238
9001,48061,CAMERON,TX,Congestive Heart Failure,Urban,17,"[10,000+]",16.0,"[5,000-9,999]",17.0,[11-499],13.0,[11-499],18.0,"[10,000+]",16.0,[11-499],9.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Cameron County,48061.0,1097.0,3452.0,-99.317341,31.447238
9007,48073,CHEROKEE,TX,Congestive Heart Failure,Rural,15,"[5,000-9,999]",15.0,"[1,000-4,999]",18.0,[500-999],,[11-499],12.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Cherokee County,48073.0,21.0,348.0,-99.317341,31.447238
9013,48085,COLLIN,TX,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",16.0,"[1,000-4,999]",10.0,"[1,000-4,999]",11.0,"[1,000-4,999]",16.0,[11-499],10.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Collin County,48085.0,300.0,4909.0,-99.317341,31.447238
9016,48091,COMAL,TX,Congestive Heart Failure,Urban,10,"[10,000+]",11.0,"[10,000+]",9.0,[11-499],7.0,[11-499],10.0,"[1,000-4,999]",,[11-499],11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Comal County,48091.0,123.0,1125.0,-99.317341,31.447238
9027,48113,DALLAS,TX,Congestive Heart Failure,Urban,15,"[10,000+]",13.0,"[10,000+]",23.0,"[10,000+]",12.0,"[5,000-9,999]",14.0,"[10,000+]",18.0,[11-499],10.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Dallas County,48113.0,1183.0,14262.0,-99.317341,31.447238
9029,48117,DEAF SMITH,TX,Congestive Heart Failure,Rural,16,"[1,000-4,999]",17.0,[500-999],23.0,[11-499],,*,16.0,[500-999],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Deaf Smith County,48117.0,10.0,76.0,-99.317341,31.447238
9031,48121,DENTON,TX,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",15.0,"[1,000-4,999]",10.0,"[1,000-4,999]",12.0,"[1,000-4,999]",18.0,[11-499],10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Denton County,48121.0,201.0,3327.0,-99.317341,31.447238
9032,48123,DE WITT,TX,Congestive Heart Failure,Rural,20,"[1,000-4,999]",18.0,"[1,000-4,999]",36.0,[11-499],,*,19.0,[500-999],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,DeWitt County,48123.0,31.0,160.0,-99.317341,31.447238
9038,48135,ECTOR,TX,Congestive Heart Failure,Urban,17,"[10,000+]",18.0,"[5,000-9,999]",18.0,[500-999],9.0,[11-499],15.0,"[1,000-4,999]",28.0,[11-499],10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Ector County,48135.0,141.0,1182.0,-99.317341,31.447238
9040,48139,ELLIS,TX,Congestive Heart Failure,Urban,15,"[10,000+]",15.0,"[10,000+]",20.0,"[1,000-4,999]",9.0,[11-499],13.0,"[1,000-4,999]",8.0,[11-499],16.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Ellis County,48139.0,52.0,955.0,-99.317341,31.447238
9041,48141,EL PASO,TX,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",14.0,"[1,000-4,999]",7.0,[500-999],13.0,"[10,000+]",15.0,[11-499],9.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,El Paso County,48141.0,664.0,5386.0,-99.317341,31.447238
9044,48147,FANNIN,TX,Congestive Heart Failure,Rural,20,"[5,000-9,999]",20.0,"[1,000-4,999]",20.0,[11-499],,[11-499],8.0,[11-499],16.0,[11-499],,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Fannin County,48147.0,10.0,238.0,-99.317341,31.447238
9049,48157,FORT BEND,TX,Congestive Heart Failure,Urban,15,"[10,000+]",14.0,"[10,000+]",18.0,"[5,000-9,999]",12.0,"[5,000-9,999]",16.0,"[1,000-4,999]",13.0,[11-499],10.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Fort Bend County,48157.0,271.0,2908.0,-99.317341,31.447238
9054,48167,GALVESTON,TX,Congestive Heart Failure,Urban,18,"[10,000+]",17.0,"[10,000+]",24.0,"[1,000-4,999]",11.0,[500-999],15.0,"[1,000-4,999]",18.0,[11-499],13.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Galveston County,48167.0,301.0,2238.0,-99.317341,31.447238
9056,48171,GILLESPIE,TX,Congestive Heart Failure,Rural,11,"[5,000-9,999]",11.0,"[5,000-9,999]",,*,,*,6.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Gillespie County,48171.0,11.0,268.0,-99.317341,31.447238
9061,48181,GRAYSON,TX,Congestive Heart Failure,Urban,18,"[10,000+]",18.0,"[10,000+]",22.0,[500-999],9.0,[11-499],18.0,[11-499],16.0,[11-499],18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,TX,Grayson County,48181.0,94.0,1433.0,-99.317341,31.447238
